Temp_C,Salinity,NO3,PO4,Si,Lat,Lon
23.50745,34.0873,0,3.37,0.1,27.79234,-82.9179
23.71135,34.9625,0.18,4.03,0,27.3833,-82.715
23.2801,35.5562,0,0.89,0,27.3667,-82.9
23.2349,35.9227,0,1.18,0,27.3575,-83.18722
23.70525,36.3937,0,1.32,0,27.28762,-83.58218
25.1766,36.4772,0,0.92,0,27.15006,-85.14278
23.0783,36.2678,0,1.13,0,27.4,-84.9044
23.77495,36.4099,0,0.81,0,27.59006,-84.75576
23.95225,36.3924,0,1.08,0,27.70722,-84.553056
23.3254,36.3023,0,1.41,0,27.826944,-83.93833
23.13125,36.2309,0,1.17,0,27.85,-83.65
24.46755,34.9407,0,1.81,0,27.8166,-83.0166
25.11995,34.8902,0,2.4,0.06,27.7,-82.9
24.81385,35.1601,0,2,0,27.58944,-82.86306
